Date,Price,Open,High,Low,Vol.,Change_Percent
7/1/1988,15.7,14.6,15.9,13.79,7.21K,5.72
8/1/1988,14.6,15.64,15.64,14.48,15.08K,-7.01
9/1/1988,12.24,14.5,14.5,12.03,32.94K,-16.16
10/1/1988,12.74,11.83,13.95,11.3,31.33K,4.08
11/1/1988,14.05,12.45,15,11.7,53.26K,10.28
12/1/1988,15.52,14.35,15.6,14.03,44.91K,10.46
1/1/1989,15.91,15.63,17.25,15.59,69.28K,2.51
2/1/1989,16.4,15.69,16.61,15.16,55.27K,3.08
3/1/1989,19.55,16.62,19.75,16.5,88.40K,19.21
4/1/1989,18.94,18.9,20.45,18.15,98.99K,-3.12
5/1/1989,17.75,18.75,18.9,16.68,85.86K,-6.28
6/1/1989,17.49,17.65,18.1,16,112.47K,-1.46
7/1/1989,16.52,17.58,18.27,16.4,95.61K,-5.55
8/1/1989,17.24,16.72,17.3,16.28,87.55K,4.36
9/1/1989,18.16,17.17,18.2,17.11,87.29K,5.34
10/1/1989,18.63,18.33,19.2,18.11,120.50K,2.59
11/1/1989,18.49,18.82,19.15,18.07,94.74K,-0.75
12/1/1989,20.28,18.54,20.3,18.5,85.76K,9.68
1/1/1990,20.06,20.2,22.28,19.02,125.01K,-1.08
2/1/1990,19.48,19.9,20.2,19.12,96.02K,-2.89
3/1/1990,18.38,19.48,19.68,18,125.89K,-5.65
4/1/1990,17.12,18.49,18.65,15.94,90.08K,-6.86
5/1/1990,16.24,17.2,18.16,16.1,128.86K,-5.14
6/1/1990,16.14,16.31,16.46,15.33,116.69K,-0.62
7/1/1990,19.84,16.83,19.85,15.53,124.97K,22.92
8/1/1990,26.75,19.86,31.1,19.79,172.21K,34.83
9/1/1990,39.1,27.6,39.15,27.6,238.54K,46.17
10/1/1990,34.41,38.2,40.95,26.05,320.26K,-11.99
11/1/1990,29.2,34.6,35.18,27.95,260.61K,-15.14
12/1/1990,28.27,29,30.7,25.45,205.60K,-3.18
1/1/1991,20.06,28.1,31.2,17.9,469.48K,-29.04
2/1/1991,18.68,20.1,20.9,16,257.09K,-6.88
3/1/1991,17.95,18.5,20.9,17.4,186.57K,-3.91
4/1/1991,19.42,17.88,20.3,17.6,236.13K,8.19
5/1/1991,19.21,19.35,20.37,18.94,222.75K,-1.08
6/1/1991,18.72,19.25,19.35,17.71,221.87K,-2.55
7/1/1991,19.74,18.75,20.22,18.61,233.73K,5.45
8/1/1991,20.7,19.76,22.2,19.18,328.09K,4.86
9/1/1991,21.05,20.7,21.19,19.78,237.68K,1.69
10/1/1991,22.1,20.98,22.83,20.79,343.06K,4.99
11/1/1991,20.13,21.15,22.66,19.58,307.96K,-8.91
12/1/1991,17.61,20.25,20.27,17.3,250.73K,-12.52
1/1/1992,18.15,18,18.68,16.68,322.91K,3.07
2/1/1992,17.55,18.13,19.04,17.13,254.89K,-3.31
3/1/1992,18.14,17.5,18.18,17.18,236.10K,3.36
4/1/1992,19.66,18.2,19.7,18.15,279.54K,8.38
5/1/1992,20.79,19.57,20.92,19.12,267.48K,5.75
6/1/1992,20.41,20.8,21.61,20.35,333.95K,-1.83
7/1/1992,20.47,20.6,20.84,19.8,357.48K,0.29
8/1/1992,19.87,20.37,20.42,19.53,299.32K,-2.93
9/1/1992,20.34,19.95,20.76,19.9,313.93K,2.37
10/1/1992,19.45,20.36,20.95,19.2,354.07K,-4.38
11/1/1992,18.84,19.5,19.7,18.73,364.40K,-3.14
12/1/1992,18.29,18.91,18.93,17.65,368.18K,-2.92
1/1/1993,18.47,18.2,18.69,16.82,448.33K,0.98
2/1/1993,18.92,18.45,19.2,17.62,387.44K,2.44
3/1/1993,18.9,18.93,19.68,18.25,431.58K,-0.11
4/1/1993,19.15,18.93,19.24,18.68,343.37K,1.32
5/1/1993,18.6,19.25,19.3,18.1,348.25K,-2.87
6/1/1993,17.51,18.61,18.77,17.32,416.70K,-5.86
7/1/1993,16.75,17.51,17.51,15.9,524.51K,-4.34
8/1/1993,17.08,16.7,17.55,16.25,407.20K,1.97
